Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-11-12,The Perks of Being a Wallflower,2012,https://boxd.it/3qgpod,,,w/ meagan,2022-11-12
2022-11-14,Fall,2022,https://boxd.it/3qKCH3,,,w/ meagan,2022-11-13
2022-11-14,Our Idiot Brother,2011,https://boxd.it/3qKCRR,,,w/ meagan,2022-11-13
2022-11-14,Shaun of the Dead,2004,https://boxd.it/3qLxCT,,Yes,w/ meagan,2022-11-14
2022-11-16,Crimes of the Future,2022,https://boxd.it/3r7PE3,,,,2022-11-15
2022-11-22,Nope,2022,https://boxd.it/3skbHL,,,w/ meagan,2022-11-21
2022-11-22,Dororo,2019,https://boxd.it/3skbT3,3.5,,,2022-11-21
2022-11-22,Jungle,2017,https://boxd.it/3soquF,,,w/ meagan,2022-11-21
2022-11-22,mother!,2017,https://boxd.it/3soHNp,,,w/ meagan,2022-11-22
2022-11-23,The Menu,2022,https://boxd.it/3szO3l,,,"in theater, w/ meagan",2022-11-22
2022-11-25,Her,2013,https://boxd.it/3sWUyZ,5,Yes,w/ meagan,2022-11-25
2022-11-25,The Impossible,2012,https://boxd.it/3sXb8p,,,w/ meagan,2022-11-25
2022-12-03,ONI: Thunder God's Tale,2022,https://boxd.it/3uBrBr,,,,2022-12-03
2022-12-03,Titane,2021,https://boxd.it/3uBrHf,5,Yes,w/ meagan,2022-12-03
2022-12-05,Titane,2021,https://boxd.it/3v0xJB,5,Yes,w/ meagan,2022-12-03
2022-12-13,Decision to Leave,2022,https://boxd.it/3wF8F1,,,,2022-12-12
2022-12-15,Guillermo del Toro's Pinocchio,2022,https://boxd.it/3x5VXF,,,,2022-12-14
2022-12-17,Wendell & Wild,2022,https://boxd.it/3xu15H,,,,2022-12-16
2022-12-17,Emily the Criminal,2022,https://boxd.it/3xy8YH,,,,2022-12-16
2022-12-17,Top Gun: Maverick,2022,https://boxd.it/3xFH73,,,,2022-12-17
2022-12-17,Bodies Bodies Bodies,2022,https://boxd.it/3xFHe9,,,,2022-12-17
2022-12-17,Bullet Train,2022,https://boxd.it/3xFHiF,,,,2022-12-17
2022-12-20,Between Two Ferns: The Movie,2019,https://boxd.it/3yiIyH,,Yes,,2022-12-19
2022-12-26,Prisoners,2013,https://boxd.it/3AhYER,,,,2022-12-25
2022-12-27,Aftersun,2022,https://boxd.it/3AwzKb,5,,"w/ lukas, in theater",2022-12-26
2023-01-01,Babylon,2022,https://boxd.it/3CCWmL,,,"w/ lukas, in theater",2022-12-31
2023-01-05,Glass Onion,2022,https://boxd.it/3EiLCB,,,w/ lukas,2023-01-04
2023-01-11,White Noise,2022,https://boxd.it/3GBiZH,3.5,,,2023-01-10
2023-01-12,Oldboy,2003,https://boxd.it/3GWR0h,,,,2023-01-11
2023-01-19,Tenet,2020,https://boxd.it/3JfDkD,,,,2023-01-18
2023-01-20,Big Time Adolescence,2019,https://boxd.it/3JyxXR,,,w/ meagan,2023-01-19
2023-01-22,Puss in Boots: The Last Wish,2022,https://boxd.it/3KdEI7,,,"w/ meagan, in theater",2023-01-22
2023-01-26,All Quiet on the Western Front,2022,https://boxd.it/3LltxR,,,,2023-01-25
2023-01-26,Tangled,2010,https://boxd.it/3Lulin,,,w/ meagan,2023-01-26
2023-01-29,Infinity Pool,2023,https://boxd.it/3Mq0gr,,,"w/ meagan, in theater",2023-01-28
2023-01-29,Possessor,2020,https://boxd.it/3Mq0rp,4.5,Yes,w/ meagan,2023-01-28
2023-02-02,Parasite,2019,https://boxd.it/3NF7FR,5,Yes,in theater,2023-02-01
2023-02-08,Minions: The Rise of Gru,2022,https://boxd.it/3PtwGJ,,,,2023-02-07
2023-02-09,Singin' in the Rain,1952,https://boxd.it/3PKie1,5,,in theater,2023-02-08
2023-02-12,The Voices,2014,https://boxd.it/3Qy07r,4,,w/ meagan,2023-02-12
